id,nodeA,nodeB
IHALL01504_IDEPT01504,IHALL01504,IDEPT01504
IHALL01504_IHALL01604,IHALL01504,IHALL01604
IDEPT00604_IHALL02404,IDEPT00604,IHALL02404
IHALL01505_IHALL01605,IHALL01505,IHALL01605
IHALL01502_IHALL01602,IHALL01502,IHALL01602
BadSol1615935835_IPARK02001,BadSol1615935835,IPARK02001
BadSol1615935838_BadSol1615935835,BadSol1615935838,BadSol1615935835
IHALL03804_ICONF00204,IHALL03804,ICONF00204
BadSol1615935838_BadSol1615935839,BadSol1615935838,BadSol1615935839
IHALL02705_IDEPT01505,IHALL02705,IDEPT01505
BadSol1615935186_BadSol39,BadSol1615935186,BadSol39
IHALL03004_ISERV00804,IHALL03004,ISERV00804
BadSol1615935847_BadSol1615935944,BadSol1615935847,BadSol1615935944
BadSol1615935848_BadSol1615935944,BadSol1615935848,BadSol1615935944
IHALL00401_IREST00101,IHALL00401,IREST00101
IHALL01001_IHALL00901,IHALL01001,IHALL00901
IHALL01002_IHALL00902,IHALL01002,IHALL00902
IHALL01704_ISERV01004,IHALL01704,ISERV01004
ISERV00403_IHALL02303,ISERV00403,IHALL02303
IHALL00202_ISERV00202,IHALL00202,ISERV00202
IHALL01005_IHALL00905,IHALL01005,IHALL00905
BadSol1615935223_IPARK00201,BadSol1615935223,IPARK00201
IHALL01003_IHALL00903,IHALL01003,IHALL00903
IREST00103_IHALL00403,IREST00103,IHALL00403
IHALL01004_IHALL00904,IHALL01004,IHALL00904
BadSol1615935193_BadSol38,BadSol1615935193,BadSol38
IHALL00605_IDEPT00205,IHALL00605,IDEPT00205
IDEPT00704_IHALL02404,IDEPT00704,IHALL02404
IWALK00401_IWALK00501,IWALK00401,IWALK00501
BadSol1615935841_BadSol1615935839,BadSol1615935841,BadSol1615935839
IHALL00201_IHALL00301,IHALL00201,IHALL00301
IHALL02501_IHALL02601,IHALL02501,IHALL02601
IWALK00901_BadSol1615935648,IWALK00901,BadSol1615935648
IHALL00303_IHALL00203,IHALL00303,IHALL00203
IHALL00202_IHALL00302,IHALL00202,IHALL00302
IHALL02305_IHALL02805,IHALL02305,IHALL02805
IHALL00205_IHALL00305,IHALL00205,IHALL00305
IHALL02505_IHALL02605,IHALL02505,IHALL02605
IDEPT00303_IHALL00503,IDEPT00303,IHALL00503
IDEPT00502_IHALL02602,IDEPT00502,IHALL02602
IHALL00204_IHALL00304,IHALL00204,IHALL00304
IHALL00402_IDEPT00402,IHALL00402,IDEPT00402
